id	cluster	assembly
256818848	Capnocytophaga_ochracea	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/256818848.fasta.gz
552737301	Streptococcus_sp_I_G2	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/552737301.fasta.gz
552628837	Streptococcus_sp_I_P16	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/552628837.fasta.gz
239916571	Micrococcus_luteus	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/239916571.fasta.gz
256823905	Kytococcus_sedentarius	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/256823905.fasta.gz
27466918	Staphylococcus_epidermidis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/27466918.fasta.gz
57865352	Staphylococcus_epidermidis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/57865352.fasta.gz
70725001	Staphylococcus_haemolyticus	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/70725001.fasta.gz
445058371	Staphylococcus_warneri	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/445058371.fasta.gz
331265438	Streptococcus_oralis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/331265438.fasta.gz
340397867	Streptococcus_salivarius	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/340397867.fasta.gz
387783149	Streptococcus_salivarius	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/387783149.fasta.gz
125716887	Streptococcus_sanguinis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/125716887.fasta.gz
146317663	Streptococcus_suis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/146317663.fasta.gz
253750923	Streptococcus_suis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/253750923.fasta.gz
253752822	Streptococcus_suis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/253752822.fasta.gz
253754647	Streptococcus_suis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/253754647.fasta.gz
330831849	Streptococcus_suis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/330831849.fasta.gz
386577002	Streptococcus_suis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/386577002.fasta.gz
386578980	Streptococcus_suis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/386578980.fasta.gz
386581047	Streptococcus_suis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/386581047.fasta.gz
386583127	Streptococcus_suis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/386583127.fasta.gz
386585202	Streptococcus_suis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/386585202.fasta.gz
386587281	Streptococcus_suis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/386587281.fasta.gz
389855709	Streptococcus_suis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/389855709.fasta.gz
403060703	Streptococcus_suis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/403060703.fasta.gz
476419016	Streptococcus_suis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/476419016.fasta.gz
499142348	Streptococcus_suis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/499142348.fasta.gz
549452631	Streptococcus_suis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/549452631.fasta.gz
556587607	Streptococcus_suis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/556587607.fasta.gz
116626972	Streptococcus_thermophilus	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/116626972.fasta.gz
386085705	Streptococcus_thermophilus	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/386085705.fasta.gz
386343608	Streptococcus_thermophilus	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/386343608.fasta.gz
387908808	Streptococcus_thermophilus	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/387908808.fasta.gz
55820103	Streptococcus_thermophilus	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/55820103.fasta.gz
55821993	Streptococcus_thermophilus	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/55821993.fasta.gz
290579526	Streptococcus_mutans	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/290579526.fasta.gz
347750429	Streptococcus_mutans	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/347750429.fasta.gz
387785181	Streptococcus_mutans	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/387785181.fasta.gz
397648808	Streptococcus_mutans	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/397648808.fasta.gz
406708523	Streptococcus_agalactiae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/406708523.fasta.gz
410593712	Streptococcus_agalactiae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/410593712.fasta.gz
494702401	Streptococcus_agalactiae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/494702401.fasta.gz
512538239	Streptococcus_agalactiae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/512538239.fasta.gz
512543719	Streptococcus_agalactiae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/512543719.fasta.gz
337281488	Streptococcus_parasanguinis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/337281488.fasta.gz
387878539	Streptococcus_parasanguinis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/387878539.fasta.gz
