"E_col_Pop","Collection","Label","ST","carriage_nonPP","Disease_nonPP","carriage_PP","Disease_PP","OR","lower","upper","pval_f<=5_chi>5","p.adj BH"
"E_col_Pop1","BSAC",,"ST11_SC1",402,1319,1,0,0.1017,0.0041,2.5008,5.48E-02,0.2151
"E_col_Pop10","BSAC","ST127_SC10 (BSAC)","ST127_SC10",392,1276,11,43,1.2009,0.6134,2.3512,5.93E-01,1
"E_col_Pop100","BSAC",,"ST10_SC100",400,1319,3,0,0.0434,0.0022,0.8412,0.003,0.0489
"E_col_Pop101","BSAC",,"ST348_SC101",400,1318,3,1,0.1012,0.0105,0.9752,0.0421,0.2151
"E_col_Pop102","BSAC",,"ST963_SC102",402,1316,1,3,0.9164,0.0951,8.8343,1,1
"E_col_Pop103","BSAC",,"ST973_SC103",400,1316,3,3,0.304,0.0611,1.5118,0.1446,0.5174
"E_col_Pop104","BSAC",,"ST4038_SC104",399,1317,4,2,0.1515,0.0276,0.8301,0.0296,0.1768
"E_col_Pop105","BSAC",,"ST354_SC105",403,1317,0,2,1.5313,0.0734,31.9615,1,1
"E_col_Pop11","BSAC","ST14_SC11 (BSAC)","ST14_SC11",380,1279,23,40,0.5167,0.3055,0.8739,0.0123,0.0841
"E_col_Pop110","BSAC",,"ST295_SC110",402,1319,1,0,0.1017,0.0041,2.5008,5.48E-02,0.2151
"E_col_Pop111","BSAC",,"ST2346_SC111",402,1319,1,0,0.1017,0.0041,2.5008,0.0548,0.2151
"E_col_Pop113","BSAC",,"ST126_SC113",403,1318,0,1,0.9181,0.0373,22.5805,1,1
"E_col_Pop117","BSAC",,"ST589_SC117",401,1319,2,0,0.0609,0.0029,1.2702,0.0548,0.2151
"E_col_Pop118","BSAC",,"ST327_SC118",402,1319,1,0,0.1017,0.0041,2.5008,0.0548,0.2151
"E_col_Pop119","BSAC",,"ST1441_SC119",402,1319,1,0,0.1017,0.0041,2.5008,0.0548,0.2151
"E_col_Pop12","BSAC",,"ST442_SC12",401,1318,2,1,0.1521,0.0138,1.682,0.1385,0.5019
"E_col_Pop120","BSAC",,"ST457_SC120",402,1318,1,1,0.305,0.019,4.8873,0.4134,1
"E_col_Pop121","BSAC",,"ST691_SC121",403,1318,0,1,0.9181,0.0373,22.5805,1,1
"E_col_Pop122","BSAC",,"ST617_SC122",403,1317,0,2,1.5313,0.0734,31.9615,1,1
"E_col_Pop123","BSAC",,"ST355_SC123",402,1318,1,1,0.305,0.019,4.8873,0.4134,1
"E_col_Pop13","BSAC","ST141_SC13 (BSAC)","ST141_SC13",386,1298,17,21,0.3674,0.1919,0.7033,0.0017,0.0391
"E_col_Pop130","BSAC",,"ST636_SC130",399,1319,4,0,0.0336,0.0018,0.6262,0.003,0.0489
"E_col_Pop132","BSAC",,"ST443_SC132",403,1318,0,1,0.9181,0.0373,22.5805,1,1
"E_col_Pop133","BSAC",,"ST919_SC133",402,1316,1,3,0.9164,0.0951,8.8343,1,1
"E_col_Pop134","BSAC",,"ST533_SC134",403,1317,0,2,1.5313,0.0734,31.9615,1,1
"E_col_Pop135","BSAC",,"ST706_SC135",403,1318,0,1,0.9181,0.0373,22.5805,1,1
"E_col_Pop136","BSAC",,"ST135_SC136",402,1318,1,1,0.305,0.019,4.8873,0.4134,1
"E_col_Pop138","BSAC",,"ST10_SC138",402,1319,1,0,0.1017,0.0041,2.5008,5.48E-02,0.2151
"E_col_Pop14","BSAC","ST59_SC14 (BSAC)","ST59_SC14",390,1301,13,18,0.4151,0.2016,0.8547,0.0139,0.0928
"E_col_Pop144","BSAC",,"ST2332_SC144",402,1319,1,0,0.1017,0.0041,2.5008,0.0548,0.2151
"E_col_Pop145","BSAC",,"ST590_SC145",401,1319,2,0,0.0609,0.0029,1.2702,0.0548,0.2151
"E_col_Pop147","BSAC",,"ST1236_SC147",402,1319,1,0,0.1017,0.0041,2.5008,0.0548,0.2151
"E_col_Pop150","BSAC",,"ST640_SC150",403,1318,0,1,0.9181,0.0373,22.5805,1,1
"E_col_Pop151","BSAC",,"ST2773_SC151",403,1318,0,1,0.9181,0.0373,22.5805,1,1
"E_col_Pop152","BSAC",,"ST2015_SC152",402,1318,1,1,0.305,0.019,4.8873,0.4134,1
"E_col_Pop153","BSAC",,"ST394_SC153",403,1316,0,3,2.1455,0.1106,41.6225,0.5788,1
"E_col_Pop16","BSAC","ST58_SC16 (BSAC)","ST58_SC16",388,1301,15,18,0.3579,0.1787,0.7167,0.0025,0.0489
"E_col_Pop167","BSAC",,"ST58_SC167",402,1319,1,0,0.1017,0.0041,2.5008,0.0548,0.2151
"E_col_Pop168","BSAC","ST607_SC168 (BSAC)","ST607_SC168",399,1319,4,0,0.0336,0.0018,0.6262,0.003,0.0489
"E_col_Pop17","BSAC",,"ST393_SC17",402,1285,1,34,10.6366,1.4515,77.947,0.0018,0.0391
"E_col_Pop171","BSAC",,"ST685_SC171",402,1319,1,0,0.1017,0.0041,2.5008,0.0548,0.2151
"E_col_Pop172","BSAC",,"ST10_SC172",400,1319,3,0,0.0434,0.0022,0.8412,0.003,0.0489
"E_col_Pop173","BSAC",,"ST1155_SC173",403,1317,0,2,1.5313,0.0734,31.9615,1,1
"E_col_Pop174","BSAC",,"ST48_SC174",403,1317,0,2,1.5313,0.0734,31.9615,1,1
"E_col_Pop175","BSAC",,"ST1170_SC175",400,1318,3,1,0.1012,0.0105,0.9752,0.0421,0.2151
"E_col_Pop176","BSAC",,"ST446_SC176",403,1318,0,1,0.9181,0.0373,22.5805,1.00E+00,1
"E_col_Pop177","BSAC",,"ST646_SC177",403,1318,0,1,0.9181,0.0373,22.5805,1,1
"E_col_Pop178","BSAC",,"ST452_SC178",401,1318,2,1,0.1521,0.0138,1.682,0.1385,0.5019
"E_col_Pop182","BSAC",,"ST795_SC182",402,1319,1,0,0.1017,0.0041,2.5008,0.0548,0.2151
"E_col_Pop195","BSAC",,"ST582_SC195",402,1319,1,0,0.1017,0.0041,2.5008,0.0548,0.2151
"E_col_Pop199","BSAC",,"ST4_SC199",402,1319,1,0,0.1017,0.0041,2.5008,0.0548,0.2151
"E_col_Pop2","BSAC","ST131_SC2 (BSAC)","ST131_SC2",361,1118,42,201,1.5453,1.0856,2.1996,0.0151,0.1
"E_col_Pop20","BSAC",,"ST38_SC20",393,1307,10,12,0.3608,0.1547,0.8415,0.0139,0.0928
"E_col_Pop200","BSAC",,"ST10_SC200",400,1319,3,0,0.0434,0.0022,0.8412,0.003,0.0489
"E_col_Pop204","BSAC",,"ST10_SC204",399,1319,4,0,0.0336,0.0018,0.6262,0.003,0.0489
"E_col_Pop205","BSAC",,"ST2723_SC205",402,1319,1,0,0.1017,0.0041,2.5008,0.0548,0.2151
"E_col_Pop206","BSAC",,"ST206_SC206",402,1319,1,0,0.1017,0.0041,2.5008,0.0548,0.2151
"E_col_Pop207","BSAC",,"ST1851_SC207",402,1319,1,0,0.1017,0.0041,2.5008,0.0548,0.2151
"E_col_Pop21","BSAC",,"ST88_SC21",397,1308,6,11,0.5564,0.2045,1.5142,0.2445,0.7161
"E_col_Pop211","BSAC",,"ST108_SC211",399,1319,4,0,0.0336,0.0018,0.6262,0.003,0.0489
"E_col_Pop212","BSAC",,"ST1727_SC212",401,1319,2,0,0.0609,0.0029,1.2702,0.0548,0.2151
"E_col_Pop215","BSAC",,"ST1643_SC215",401,1319,2,0,0.0609,0.0029,1.2702,0.0548,0.2151
"E_col_Pop216","BSAC","ST635_SC216 (BSAC)","ST635_SC216",396,1319,7,0,0.02,0.0011,0.3515,0,0
"E_col_Pop219","BSAC",,"ST6537_SC219",403,1318,0,1,0.9181,0.0373,22.5805,1,1
"E_col_Pop22","BSAC",,"ST144_SC22",401,1299,2,20,3.087,0.7185,13.264,0.1322,0.4921
"E_col_Pop220","BSAC",,"ST657_SC220",403,1318,0,1,0.9181,0.0373,22.5805,1,1
