PopPUNK	Cluster
E_col_Pop1	E_col_SC1_ST11
E_col_Pop2	E_col_SC2_ST131
E_col_Pop3	E_col_SC3_ST73
E_col_Pop4	E_col_SC4_ST95
E_col_Pop5	E_col_SC5_ST69
E_col_Pop6	E_col_SC6_ST10
E_col_Pop7	E_col_SC7_ST21
E_col_Pop8	E_col_SC8_ST17
E_col_Pop9	E_col_SC9_ST12
E_col_Pop10	E_col_SC10_ST127
E_col_Pop11	E_col_SC11_ST14
E_col_Pop12	E_col_SC12_ST442
E_col_Pop13	E_col_SC13_ST141
E_col_Pop14	E_col_SC14_ST59
E_col_Pop15	E_col_SC15_ST33
E_col_Pop16	E_col_SC16_ST58
E_col_Pop17	E_col_SC17_ST393
E_col_Pop18	E_col_SC18_ST32
E_col_Pop19	E_col_SC19_ST25
E_col_Pop20	E_col_SC20_ST38
E_col_Pop21	E_col_SC21_ST88
E_col_Pop22	E_col_SC22_ST144
E_col_Pop23	E_col_SC23_ST372
E_col_Pop24	E_col_SC24_ST517
E_col_Pop25	E_col_SC25_ST392
E_col_Pop26	E_col_SC26_ST80
E_col_Pop27	E_col_SC27_ST357
E_col_Pop28	E_col_SC28_ST300
E_col_Pop29	E_col_SC29_ST23
E_col_Pop30	E_col_SC30_ST504
E_col_Pop31	E_col_SC31_ST62
E_col_Pop32	E_col_SC32_ST405
E_col_Pop33	E_col_SC33_ST641
E_col_Pop34	E_col_SC34_ST245
E_col_Pop35	E_col_SC35_ST117
E_col_Pop36	E_col_SC36_ST28
E_col_Pop37	E_col_SC37_ST678
E_col_Pop38	E_col_SC38_ST297
E_col_Pop39	E_col_SC39_ST6
E_col_Pop40	E_col_SC40_ST328
E_col_Pop41	E_col_SC41_ST648
E_col_Pop42	E_col_SC42_ST405
E_col_Pop43	E_col_SC43_ST101
E_col_Pop44	E_col_SC44_ST136
E_col_Pop45	E_col_SC45_ST538
E_col_Pop46	E_col_SC46_ST906
E_col_Pop47	E_col_SC47_ST655
E_col_Pop48	E_col_SC48_ST583
E_col_Pop49	E_col_SC49_ST420
E_col_Pop50	E_col_SC50_ST152
E_col_Pop51	E_col_SC51_ST200
E_col_Pop52	E_col_SC52_ST675
E_col_Pop53	E_col_SC53_ST501
E_col_Pop54	E_col_SC54_ST83
E_col_Pop55	E_col_SC55_ST93
E_col_Pop56	E_col_SC56_ST154
E_col_Pop57	E_col_SC57_ST91
E_col_Pop58	E_col_SC58_ST349
E_col_Pop59	E_col_SC59_ST443
E_col_Pop60	E_col_SC60_ST182
E_col_Pop61	E_col_SC61_ST19
E_col_Pop62	E_col_SC62_ST409
E_col_Pop63	E_col_SC63_ST316
E_col_Pop64	E_col_SC64_ST135
E_col_Pop65	E_col_SC65_ST7077
E_col_Pop66	E_col_SC66_ST5601
E_col_Pop67	E_col_SC67_ST4
E_col_Pop68	E_col_SC68_ST1819
E_col_Pop69	E_col_SC69_ST381
E_col_Pop70	E_col_SC70_ST99
E_col_Pop71	E_col_SC71_ST362
E_col_Pop72	E_col_SC72_ST5342
E_col_Pop73	E_col_SC73_ST722
E_col_Pop74	E_col_SC74_ST1312
E_col_Pop75	E_col_SC75_ST40
E_col_Pop76	E_col_SC76_ST491
E_col_Pop77	E_col_SC77_ST342
E_col_Pop78	E_col_SC78_ST206
E_col_Pop79	E_col_SC79_ST10
E_col_Pop80	E_col_SC80_ST13
E_col_Pop81	E_col_SC81_ST378
E_col_Pop82	E_col_SC82_ST5261
E_col_Pop83	E_col_SC83_ST398
E_col_Pop84	E_col_SC84_ST448
E_col_Pop85	E_col_SC85_ST10
E_col_Pop86	E_col_SC86_ST2368
E_col_Pop87	E_col_SC87_ST394
E_col_Pop88	E_col_SC88_ST216
E_col_Pop89	E_col_SC89_ST345
E_col_Pop90	E_col_SC90_ST399
E_col_Pop91	E_col_SC91_ST295
E_col_Pop92	E_col_SC92_ST4554
E_col_Pop93	E_col_SC93_ST978
E_col_Pop94	E_col_SC94_ST540
E_col_Pop95	E_col_SC95_ST567
E_col_Pop96	E_col_SC96_ST301
E_col_Pop97	E_col_SC97_ST757
E_col_Pop98	E_col_SC98_ST173
E_col_Pop99	E_col_SC99_ST6701
E_col_Pop100	E_col_SC100_ST10
E_col_Pop101	E_col_SC101_ST348
E_col_Pop102	E_col_SC102_ST963
E_col_Pop103	E_col_SC103_ST973
E_col_Pop104	E_col_SC104_ST4038
E_col_Pop105	E_col_SC105_ST354
E_col_Pop106	E_col_SC106_ST212
E_col_Pop107	E_col_SC107_ST738
E_col_Pop108	E_col_SC108_ST301
E_col_Pop109	E_col_SC109_ST398
E_col_Pop110	E_col_SC110_ST295
E_col_Pop111	E_col_SC111_ST2346
E_col_Pop112	E_col_SC112_ST602
E_col_Pop113	E_col_SC113_ST126
E_col_Pop114	E_col_SC114_ST26
E_col_Pop115	E_col_SC115_ST937
E_col_Pop116	E_col_SC116_ST342
E_col_Pop117	E_col_SC117_ST589
E_col_Pop118	E_col_SC118_ST327
E_col_Pop119	E_col_SC119_ST1441
E_col_Pop120	E_col_SC120_ST457
E_col_Pop121	E_col_SC121_ST691
E_col_Pop122	E_col_SC122_ST617
E_col_Pop123	E_col_SC123_ST355
E_col_Pop124	E_col_SC124_ST3032
E_col_Pop125	E_col_SC125_ST33
E_col_Pop126	E_col_SC126_ST2089
E_col_Pop127	E_col_SC127_ST841
E_col_Pop128	E_col_SC128_ST1159
E_col_Pop129	E_col_SC129_ST224
E_col_Pop130	E_col_SC130_ST636
E_col_Pop131	E_col_SC131_ST5644
E_col_Pop132	E_col_SC132_ST443
