PopPUNK	Cluster
E_fcm_Pop1	E_fcm_SC1_ST6
E_fcm_Pop2	E_fcm_SC2_ST266
E_fcm_Pop3	E_fcm_SC3_ST203
E_fcm_Pop4	E_fcm_SC4_ST19
E_fcm_Pop5	E_fcm_SC5_ST290
E_fcm_Pop6	E_fcm_SC6_ST389
E_fcm_Pop7	E_fcm_SC7_ST310
E_fcm_Pop8	E_fcm_SC8_ST80
E_fcm_Pop9	E_fcm_SC9_ST78
E_fcm_Pop10	E_fcm_SC10_ST192
E_fcm_Pop11	E_fcm_SC11_ST17
E_fcm_Pop12	E_fcm_SC12_ST117
E_fcm_Pop13	E_fcm_SC13_ST203
E_fcm_Pop14	E_fcm_SC14_ST18
E_fcm_Pop15	E_fcm_SC15_ST549
E_fcm_Pop16	E_fcm_SC16_ST78
E_fcm_Pop17	E_fcm_SC17_ST398
E_fcm_Pop18	E_fcm_SC18_ST117
E_fcm_Pop19	E_fcm_SC19_ST18
E_fcm_Pop20	E_fcm_SC20_ST440
E_fcm_Pop21	E_fcm_SC21_ST78
E_fcm_Pop22	E_fcm_SC22_ST494
E_fcm_Pop23	E_fcm_SC23_ST412
E_fcm_Pop24	E_fcm_SC24_ST17
E_fcm_Pop25	E_fcm_SC25_ST17
E_fcm_Pop26	E_fcm_SC26_ST78
E_fcm_Pop27	E_fcm_SC27_ST18
E_fcm_Pop28	E_fcm_SC28_ST117
E_fcm_Pop29	E_fcm_SC29_ST203
E_fcm_Pop30	E_fcm_SC30_ST39
E_fcm_Pop31	E_fcm_SC31_ST80
E_fcm_Pop32	E_fcm_SC32_ST264
E_fcm_Pop33	E_fcm_SC33_ST192
E_fcm_Pop34	E_fcm_SC34_ST17
E_fcm_Pop35	E_fcm_SC35_ST125
E_fcm_Pop36	E_fcm_SC36_ST730
E_fcm_Pop37	E_fcm_SC37_ST547
E_fcm_Pop38	E_fcm_SC38_ST375
E_fcm_Pop39	E_fcm_SC39_ST80
E_fcm_Pop40	E_fcm_SC40_ST18
E_fcm_Pop41	E_fcm_SC41_ST345
E_fcm_Pop42	E_fcm_SC42_ST89
E_fcm_Pop43	E_fcm_SC43_ST117
E_fcm_Pop44	E_fcm_SC44_ST168
E_fcm_Pop45	E_fcm_SC45_ST50
E_fcm_Pop46	E_fcm_SC46_ST253
E_fcm_Pop47	E_fcm_SC47_ST361
E_fcm_Pop48	E_fcm_SC48_ST17
E_fcm_Pop49	E_fcm_SC49_ST598
E_fcm_Pop50	E_fcm_SC50_ST279
E_fcm_Pop51	E_fcm_SC51_ST552
E_fcm_Pop52	E_fcm_SC52_ST82
E_fcm_Pop53	E_fcm_SC53_ST393
E_fcm_Pop54	E_fcm_SC54_ST17
E_fcm_Pop55	E_fcm_SC55_ST13
E_fcm_Pop56	E_fcm_SC56_ST22
E_fcm_Pop57	E_fcm_SC57_STNA
E_fcm_Pop58	E_fcm_SC58_ST273
E_fcm_Pop59	E_fcm_SC59_ST78
