PopPUNK	Cluster
E_fcs_Pop1	E_fcs_SC1_ST179
E_fcs_Pop2	E_fcs_SC2_ST21
E_fcs_Pop3	E_fcs_SC3_ST16
E_fcs_Pop4	E_fcs_SC4_ST40
E_fcs_Pop5	E_fcs_SC5_ST25
E_fcs_Pop6	E_fcs_SC6_ST30
E_fcs_Pop7	E_fcs_SC7_ST64
E_fcs_Pop8	E_fcs_SC8_ST34
E_fcs_Pop9	E_fcs_SC9_ST28
E_fcs_Pop10	E_fcs_SC10_ST81
E_fcs_Pop11	E_fcs_SC11_ST72
E_fcs_Pop12	E_fcs_SC12_ST4
E_fcs_Pop13	E_fcs_SC13_ST58
E_fcs_Pop14	E_fcs_SC14_ST9
E_fcs_Pop15	E_fcs_SC15_ST159
E_fcs_Pop16	E_fcs_SC16_ST6
E_fcs_Pop17	E_fcs_SC17_ST19
E_fcs_Pop18	E_fcs_SC18_ST116
E_fcs_Pop19	E_fcs_SC19_ST49
E_fcs_Pop20	E_fcs_SC20_ST41
E_fcs_Pop21	E_fcs_SC21_ST191
E_fcs_Pop22	E_fcs_SC22_ST44
E_fcs_Pop23	E_fcs_SC23_ST2
E_fcs_Pop24	E_fcs_SC24_STNA
E_fcs_Pop25	E_fcs_SC25_ST200
E_fcs_Pop26	E_fcs_SC26_ST260
E_fcs_Pop27	E_fcs_SC27_ST82
E_fcs_Pop28	E_fcs_SC28_ST117
E_fcs_Pop29	E_fcs_SC29_ST59
E_fcs_Pop30	E_fcs_SC30_ST256
E_fcs_Pop31	E_fcs_SC31_ST139
E_fcs_Pop32	E_fcs_SC32_ST35
E_fcs_Pop33	E_fcs_SC33_ST102
E_fcs_Pop34	E_fcs_SC34_ST915
E_fcs_Pop35	E_fcs_SC35_ST100
E_fcs_Pop36	E_fcs_SC36_ST96
E_fcs_Pop37	E_fcs_SC37_ST27
E_fcs_Pop38	E_fcs_SC38_ST86
E_fcs_Pop39	E_fcs_SC39_ST300
E_fcs_Pop40	E_fcs_SC40_ST209
E_fcs_Pop41	E_fcs_SC41_ST330
E_fcs_Pop42	E_fcs_SC42_ST239
E_fcs_Pop43	E_fcs_SC43_ST249
E_fcs_Pop44	E_fcs_SC44_ST287
E_fcs_Pop45	E_fcs_SC45_ST192
E_fcs_Pop46	E_fcs_SC46_ST860
E_fcs_Pop47	E_fcs_SC47_ST141
E_fcs_Pop48	E_fcs_SC48_ST323
E_fcs_Pop49	E_fcs_SC49_ST579
E_fcs_Pop50	E_fcs_SC50_ST211
E_fcs_Pop51	E_fcs_SC51_STNA
E_fcs_Pop52	E_fcs_SC52_ST631
E_fcs_Pop53	E_fcs_SC53_STNA
E_fcs_Pop54	E_fcs_SC54_STNA
E_fcs_Pop55	E_fcs_SC55_STNA
E_fcs_Pop56	E_fcs_SC56_ST843
E_fcs_Pop57	E_fcs_SC57_ST26
E_fcs_Pop58	E_fcs_SC58_STNA
E_fcs_Pop59	E_fcs_SC59_ST472
E_fcs_Pop60	E_fcs_SC60_ST177
E_fcs_Pop61	E_fcs_SC61_ST74
E_fcs_Pop62	E_fcs_SC62_ST273
E_fcs_Pop63	E_fcs_SC63_ST394
E_fcs_Pop64	E_fcs_SC64_ST29
E_fcs_Pop65	E_fcs_SC65_STNA
E_fcs_Pop66	E_fcs_SC66_ST594
E_fcs_Pop67	E_fcs_SC67_STNA
E_fcs_Pop68	E_fcs_SC68_ST84
E_fcs_Pop69	E_fcs_SC69_ST147
E_fcs_Pop70	E_fcs_SC70_ST4
E_fcs_Pop71	E_fcs_SC71_ST288
E_fcs_Pop72	E_fcs_SC72_ST397
E_fcs_Pop73	E_fcs_SC73_ST748
E_fcs_Pop74	E_fcs_SC74_STNA
E_fcs_Pop75	E_fcs_SC75_ST489
E_fcs_Pop76	E_fcs_SC76_ST498
E_fcs_Pop77	E_fcs_SC77_ST44
E_fcs_Pop78	E_fcs_SC78_ST68
E_fcs_Pop79	E_fcs_SC79_ST143
E_fcs_Pop80	E_fcs_SC80_ST165
E_fcs_Pop81	E_fcs_SC81_ST482
E_fcs_Pop82	E_fcs_SC82_ST228
E_fcs_Pop83	E_fcs_SC83_ST79
E_fcs_Pop84	E_fcs_SC84_ST314
E_fcs_Pop85	E_fcs_SC85_STNA
E_fcs_Pop86	E_fcs_SC86_ST53
E_fcs_Pop87	E_fcs_SC87_STNA
E_fcs_Pop88	E_fcs_SC88_ST869
E_fcs_Pop89	E_fcs_SC89_ST36
E_fcs_Pop90	E_fcs_SC90_ST122
E_fcs_Pop91	E_fcs_SC91_ST369
E_fcs_Pop92	E_fcs_SC92_ST679
E_fcs_Pop93	E_fcs_SC93_ST445
E_fcs_Pop94	E_fcs_SC94_ST335
E_fcs_Pop95	E_fcs_SC95_ST721
E_fcs_Pop96	E_fcs_SC96_ST227
