PopPUNK	Cluster
K_pne_Pop1	K_pne_SC1_ST17
K_pne_Pop2	K_pne_SC2_ST3068
K_pne_Pop3	K_pne_SC3_ST36
K_pne_Pop4	K_pne_SC4_ST37
K_pne_Pop5	K_pne_SC5_ST2703
K_pne_Pop6	K_pne_SC6_ST45
K_pne_Pop7	K_pne_SC7_ST512
K_pne_Pop8	K_pne_SC8_ST661
K_pne_Pop9	K_pne_SC9_ST307
K_pne_Pop10	K_pne_SC10_ST15
K_pne_Pop11	K_pne_SC11_ST392
K_pne_Pop12	K_pne_SC12_ST321
K_pne_Pop13	K_pne_SC13_ST35
K_pne_Pop14	K_pne_SC14_ST101
K_pne_Pop15	K_pne_SC15_ST432
K_pne_Pop16	K_pne_SC16_ST857
K_pne_Pop17	K_pne_SC17_ST34
K_pne_Pop18	K_pne_SC18_ST1754
K_pne_Pop19	K_pne_SC19_ST9
K_pne_Pop20	K_pne_SC20_ST1017
K_pne_Pop21	K_pne_SC21_ST25
K_pne_Pop22	K_pne_SC22_ST3139
K_pne_Pop23	K_pne_SC23_ST461
K_pne_Pop24	K_pne_SC24_ST323
K_pne_Pop25	K_pne_SC25_ST6
K_pne_Pop26	K_pne_SC26_ST46
K_pne_Pop27	K_pne_SC27_ST1079
K_pne_Pop28	K_pne_SC28_ST13
K_pne_Pop29	K_pne_SC29_ST405
K_pne_Pop30	K_pne_SC30_ST1364
K_pne_Pop31	K_pne_SC31_ST4262
K_pne_Pop32	K_pne_SC32_ST1558
K_pne_Pop33	K_pne_SC33_ST18
K_pne_Pop34	K_pne_SC34_ST1189
K_pne_Pop35	K_pne_SC35_ST297
K_pne_Pop36	K_pne_SC36_ST277
K_pne_Pop37	K_pne_SC37_ST534
K_pne_Pop38	K_pne_SC38_ST1
K_pne_Pop39	K_pne_SC39_ST629
K_pne_Pop40	K_pne_SC40_ST2452
K_pne_Pop41	K_pne_SC41_ST2990
K_pne_Pop42	K_pne_SC42_ST359
K_pne_Pop43	K_pne_SC43_ST827
K_pne_Pop44	K_pne_SC44_ST1516
K_pne_Pop45	K_pne_SC45_ST327
K_pne_Pop46	K_pne_SC46_ST256
K_pne_Pop47	K_pne_SC47_ST132
K_pne_Pop48	K_pne_SC48_ST528
K_pne_Pop49	K_pne_SC49_ST1294
K_pne_Pop50	K_pne_SC50_ST23
K_pne_Pop51	K_pne_SC51_ST105
K_pne_Pop52	K_pne_SC52_ST3692
K_pne_Pop53	K_pne_SC53_ST3155
K_pne_Pop54	K_pne_SC54_ST551
K_pne_Pop55	K_pne_SC55_ST116
K_pne_Pop56	K_pne_SC56_ST502
K_pne_Pop57	K_pne_SC57_ST792
K_pne_Pop58	K_pne_SC58_ST133
K_pne_Pop59	K_pne_SC59_ST2482
K_pne_Pop60	K_pne_SC60_ST391
K_pne_Pop61	K_pne_SC61_ST1609
K_pne_Pop62	K_pne_SC62_ST202
K_pne_Pop63	K_pne_SC63_ST4427
K_pne_Pop64	K_pne_SC64_ST1527
K_pne_Pop65	K_pne_SC65_ST1496
K_pne_Pop66	K_pne_SC66_ST4387
K_pne_Pop67	K_pne_SC67_ST530
K_pne_Pop68	K_pne_SC68_ST1863
K_pne_Pop69	K_pne_SC69_ST2800
K_pne_Pop70	K_pne_SC70_ST17
K_pne_Pop71	K_pne_SC71_ST1536
K_pne_Pop72	K_pne_SC72_ST3385
K_pne_Pop73	K_pne_SC73_ST996
K_pne_Pop74	K_pne_SC74_ST2418
K_pne_Pop75	K_pne_SC75_ST170
K_pne_Pop76	K_pne_SC76_ST1090
K_pne_Pop77	K_pne_SC77_ST2535
K_pne_Pop78	K_pne_SC78_ST2406
K_pne_Pop79	K_pne_SC79_ST176
K_pne_Pop80	K_pne_SC80_ST1241
K_pne_Pop81	K_pne_SC81_ST2445
K_pne_Pop82	K_pne_SC82_ST789
K_pne_Pop83	K_pne_SC83_ST2407
K_pne_Pop84	K_pne_SC84_ST234
K_pne_Pop85	K_pne_SC85_ST49
K_pne_Pop86	K_pne_SC86_ST2055
K_pne_Pop87	K_pne_SC87_ST2396
K_pne_Pop88	K_pne_SC88_ST2
K_pne_Pop89	K_pne_SC89_ST1663
K_pne_Pop90	K_pne_SC90_ST1832
K_pne_Pop91	K_pne_SC91_ST2097
K_pne_Pop92	K_pne_SC92_ST1545
K_pne_Pop93	K_pne_SC93_ST377
K_pne_Pop94	K_pne_SC94_ST30
K_pne_Pop95	K_pne_SC95_ST215
K_pne_Pop96	K_pne_SC96_ST398
K_pne_Pop97	K_pne_SC97_ST1012
K_pne_Pop98	K_pne_SC98_ST2805
K_pne_Pop99	K_pne_SC99_ST2444
K_pne_Pop100	K_pne_SC100_ST2925
K_pne_Pop101	K_pne_SC101_ST832
K_pne_Pop102	K_pne_SC102_ST194
K_pne_Pop103	K_pne_SC103_ST10
K_pne_Pop104	K_pne_SC104_ST1449
K_pne_Pop105	K_pne_SC105_ST3639
K_pne_Pop106	K_pne_SC106_ST145
K_pne_Pop107	K_pne_SC107_ST151
K_pne_Pop108	K_pne_SC108_ST2856
K_pne_Pop109	K_pne_SC109_ST189
K_pne_Pop110	K_pne_SC110_ST605
K_pne_Pop111	K_pne_SC111_ST159
K_pne_Pop112	K_pne_SC112_ST4110
K_pne_Pop113	K_pne_SC113_ST182
