PopPUNK	Cluster
K_qps_Pop1	K_qps_SC1_ST480
K_qps_Pop2	K_qps_SC2_ST138
K_qps_Pop3	K_qps_SC3_ST4345
K_qps_Pop4	K_qps_SC4_STNA
K_qps_Pop5	K_qps_SC5_ST929
K_qps_Pop6	K_qps_SC6_ST2673
K_qps_Pop7	K_qps_SC7_ST369
K_qps_Pop8	K_qps_SC8_ST1901
K_qps_Pop9	K_qps_SC9_ST1676
K_qps_Pop10	K_qps_SC10_ST1548
K_qps_Pop11	K_qps_SC11_ST1570
K_qps_Pop12	K_qps_SC12_ST1224
K_qps_Pop13	K_qps_SC13_ST367
K_qps_Pop14	K_qps_SC14_ST1247
K_qps_Pop15	K_qps_SC15_ST4117
K_qps_Pop16	K_qps_SC16_ST918
K_qps_Pop17	K_qps_SC17_ST2644
K_qps_Pop18	K_qps_SC18_ST1319
K_qps_Pop19	K_qps_SC19_ST644
K_qps_Pop20	K_qps_SC20_ST961
K_qps_Pop21	K_qps_SC21_ST1016
K_qps_Pop22	K_qps_SC22_ST734
K_qps_Pop23	K_qps_SC23_ST903
K_qps_Pop24	K_qps_SC24_ST1584
K_qps_Pop25	K_qps_SC25_ST283
