PopPUNK	Cluster
K_var_Pop1	K_var_SC1_ST1562
K_var_Pop2	K_var_SC2_ST355
K_var_Pop3	K_var_SC3_ST208
K_var_Pop4	K_var_SC4_ST2594
K_var_Pop5	K_var_SC5_ST595
K_var_Pop6	K_var_SC6_ST208
K_var_Pop7	K_var_SC7_ST2468
K_var_Pop8	K_var_SC8_ST4174
K_var_Pop9	K_var_SC9_ST3924
K_var_Pop10	K_var_SC10_ST357
K_var_Pop11	K_var_SC11_ST1563
K_var_Pop12	K_var_SC12_ST919
K_var_Pop13	K_var_SC13_ST639
K_var_Pop14	K_var_SC14_ST1845
K_var_Pop15	K_var_SC15_ST596
K_var_Pop16	K_var_SC16_ST1023
K_var_Pop17	K_var_SC17_ST3353
K_var_Pop18	K_var_SC18_ST2950
K_var_Pop19	K_var_SC19_ST1928
K_var_Pop20	K_var_SC20_ST347
K_var_Pop21	K_var_SC21_ST1599
K_var_Pop22	K_var_SC22_ST1169
K_var_Pop23	K_var_SC23_ST1485
K_var_Pop24	K_var_SC24_ST2456
K_var_Pop25	K_var_SC25_ST4178
K_var_Pop26	K_var_SC26_ST1737
K_var_Pop27	K_var_SC27_ST146
K_var_Pop28	K_var_SC28_ST3398
K_var_Pop29	K_var_SC29_ST4043
K_var_Pop30	K_var_SC30_ST3953
K_var_Pop31	K_var_SC31_ST1244
K_var_Pop32	K_var_SC32_ST3925
K_var_Pop33	K_var_SC33_ST4199
K_var_Pop34	K_var_SC34_ST2183
K_var_Pop35	K_var_SC35_ST209
K_var_Pop36	K_var_SC36_ST1255
K_var_Pop37	K_var_SC37_ST1469
K_var_Pop38	K_var_SC38_ST2263
K_var_Pop39	K_var_SC39_ST925
K_var_Pop40	K_var_SC40_ST697
K_var_Pop41	K_var_SC41_ST4146
K_var_Pop42	K_var_SC42_ST1980
K_var_Pop43	K_var_SC43_ST347
K_var_Pop44	K_var_SC44_ST1597
K_var_Pop45	K_var_SC45_ST1881
K_var_Pop46	K_var_SC46_ST2221
K_var_Pop47	K_var_SC47_ST1915
K_var_Pop48	K_var_SC48_ST355
K_var_Pop49	K_var_SC49_ST2586
