"E_col"	"E_fcm"	"E_fcs"	"K_aer"	"K_gri"	"K_hua"	"K_mic"	"K_orn"	"K_oxy"	"K_pas"	"K_pla"	"K_pne"	"K_qpq"	"K_qps"	"K_qva"	"K_spa"	"K_var"	"S_aur"
"E_col"	0	0	-0.0807	0	-0.1166	0	-0.0872	0	0	0	0	-0.1152	0	0	0	0	0	-0.107
"E_fcm"	0	0	0	0	0	0	0	0.0827	0	0	0	0.0639	0	0	0	0	0	0
"E_fcs"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K_aer"	0	0.0904	0	0	0	0	0	0	0	0	0	0.0611	0	0	0	0	0.1127	0
"K_gri"	0	0	0	0	0	0	0.1212	0	0.1824	0.0496	0	0	0	0	0	0	0	0
"K_hua"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K_mic"	0	0	0	0	0.0872	0	0	0	0	0	0	0	0	0	0	0	0	0
"K_orn"	0	0	0	0	0	0	0.1072	0	0	0	0.0552	0.0892	0	0	0	0	0	0
"K_oxy"	0	0	0	0	0.1145	0	0	0	0	0	0	0	0	0	0	0	0	0
"K_pas"	0	0	0	0	0.1116	0	0.0639	0	0	0	0	0.0549	0	0	0	0	0	0
"K_pla"	0	0	0	0.1365	0	0	0	0.0802	0	0	0	0	0	0	0	0	0	0
"K_pne"	0	0	0	0	0	0	0	0	0	0	0.0701	0	0	0	0	0	0	0
"K_qpq"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K_qps"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K_qva"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K_spa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K_var"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S_aur"	-0.1066	0	0	0	0	0	0	0	0	0	0.0675	0	0	0	0	0	0	0
