"Label"	"OR"	"lower"	"upper"	"p.adj.BH"
"ST635"	0.0522	0.0134	0.2027	0
"ST607"	0.0613	0.0112	0.336	0.0391
"ST543"	0.0176	9e-04	0.341	0.0031
"ST420"	0.1569	0.0581	0.4236	0
"ST409"	0.1892	0.0813	0.4399	0
"ST399"	0.0871	0.0275	0.2756	0.0031
"ST349"	0.1217	0.0454	0.326	0
"ST141"	0.6385	0.376	1.0841	0.3562
"ST131"	0.8029	0.5701	1.1307	0.647
"ST127"	1.5544	0.8334	2.899	0.5437
"ST95"	2.2792	1.5128	3.4338	0.0031
"ST73"	2.1856	1.5272	3.1278	0
"ST69"	0.9823	0.6832	1.4125	1
"ST59"	0.5444	0.2957	1.0025	0.2151
"ST58"	0.4283	0.2391	0.7671	0.0518
"ST40"	0.0176	9e-04	0.341	0.0031
"ST14"	0.765	0.4864	1.2031	0.7161
"ST12"	2.4528	1.1958	5.0311	0.0841
"ST10"	0.4055	0.2404	0.684	0.0137
