"Label"	"OR"	"lower"	"upper"	"p.adj.BH"
"C2 (Combined)"	1.7194	0.8734	3.3848	0.2696
"C2 (BSAC)"	4.0923	2.063	8.1176	0
"C2 (NORM)"	0.6971	0.3405	1.4268	0.4073
"C1 (Combined)"	1.9647	0.7182	5.3741	0.3878
"C1 (BSAC)"	1.4758	0.5057	4.3071	0.6303
"C1 (NORM)"	2.193	0.7964	6.0389	0.2696
"B (Combined)"	0.7612	0.4341	1.3346	0.4073
"B (BSAC)"	0.8541	0.464	1.5721	0.6303
"B (NORM)"	0.7183	0.4036	1.2784	0.3878
"A (Combined)"	0.487	0.2837	0.8357	0.0308
"A (BSAC)"	0.3084	0.1571	0.6054	0.0018
"A (NORM)"	0.5706	0.3292	0.989	0.1287
"ST131 (Combined)"	1.0056	0.7206	1.4034	1
"ST131 (BSAC)"	1.5453	1.0856	2.1996	0.1
"ST131 (NORM)"	0.8029	0.5701	1.1307	0.647
