"ST4"	"ST19"	"ST21"	"ST25"	"ST30"	"ST40"	"ST44"	"ST81"	"ST102"	"ST102 x ST768"	"ST179"	"ST179 x ST16"	"ST179 x ST25"	"ST191"	"ST191 x ST249"	"ST330"	"ST472"
"ST4"	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"ST19"	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ST21"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"ST25"	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
"ST30"	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
"ST40"	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
"ST44"	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0
"ST81"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"ST102"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"ST102 x ST768"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"ST179"	0	1	0	0	0	0	0	0	0	0	18	1	2	1	0	0	0
"ST179 x ST16"	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
"ST179 x ST25"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ST191"	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
"ST191 x ST249"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ST330"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ST472"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
